File	N.modules	Modularity	P.Null1	P.Null2
B_NS-PP-olesen_flores_final_coevo_18.txt	6	0.638889	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_19.txt	4	0.521600	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_2.txt	8	0.835556	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_20.txt	7	0.747405	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_21.txt	6	0.681661	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_22.txt	5	0.603306	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_23.txt	4	0.444444	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_24.txt	6	0.781250	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_25.txt	5	0.726644	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_26.txt	6	0.468112	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_27.txt	4	0.559028	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_28.txt	7	0.619377	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_29.txt	4	0.444444	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_3.txt	5	0.675900	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_30.txt	6	0.629630	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_4.txt	7	0.746094	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_5.txt	6	0.614512	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_6.txt	5	0.444709	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_7.txt	4	0.495199	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_8.txt	4	0.494083	0.000000	0.000000
B_NS-PP-olesen_flores_final_coevo_9.txt	4	0.444444	0.000000	0.000000
B_NS-PP-olesen_flores_final_control_1.txt	4	0.449600	0.000000	0.000000
B_NS-PP-olesen_flores_final_control_10.txt	4	0.448560	0.000000	0.000000
B_NS-PP-olesen_flores_final_control_11.txt	3	0.544218	0.000000	0.000000
B_NS-PP-olesen_flores_final_control_12.txt	4	0.444444	0.000000	0.000000
B_NS-PP-olesen_flores_final_control_13.txt	5	0.473958	0.000000	0.000000
B_NS-PP-olesen_flores_final_control_14.txt	4	0.448560	0.000000	0.000000
B_NS-PP-olesen_flores_final_control_15.txt	4	0.506173	0.000000	0.000000
B_NS-PP-olesen_flores_final_control_16.txt	4	0.533951	0.000000	0.000000
B_NS-PP-olesen_flores_final_control_17.txt	4	0.444444	0.000000	0.000000
B_NS-PP-olesen_flores_final_control_18.txt	5	0.540123	0.000000	0.000000
B_NS-PP-olesen_flores_final_control_19.txt	4	0.456000	0.000000	0.000000
B_NS-PP-olesen_flores_final_control_2.txt	5	0.457778	0.000000	0.000000
B_NS-PP-olesen_flores_final_control_20.txt	4	0.512111	0.000000	0.000000
B_NS-PP-olesen_flores_final_control_21.txt	4	0.581315	0.000000	0.000000
B_NS-PP-olesen_flores_final_control_22.txt	5	0.518595	0.000000	0.000000
